field,oa_edges,ft_edges,ftd_edges,rho_oa,rho_ft,rho_ft_deleaked,eqn_min,rho_oa_eqn,rho_ft_eqn,p_oa_ge_ft_eqn
Computer Science,418,498,275,0.5975259240816613,0.6125094317671893,0.5645602299941571,418,0.597525924081661,0.582096875269556,0.705
Mathematics,240,406,403,0.487713174828724,0.5205703818201171,0.5140984829039872,240,0.48771317482872417,0.44118050778390905,0.85
Physics,181,278,268,0.4821926422565273,0.44649711920483504,0.4409603967040144,181,0.48219264225652736,0.42486344430017153,0.865
Psychology,571,569,427,0.5461575059301761,0.5513898453657746,0.45335558826879735,569,0.5462304615583676,0.5513898453657745,0.05
Economics,229,405,353,0.6198871224298654,0.6776038093432388,0.6562586927755434,229,0.6198871224298655,0.5964647945418986,0.68
Chemistry,46,357,186,0.38107750904244253,0.5521963752198652,0.5694014895623992,46,0.3810775090424424,0.4438900132253499,0.27
Biology,474,420,350,0.4909781103685032,0.49810669440675814,0.4195317255845134,420,0.48634068554595616,0.4981066944067581,0.335
