final_rank_w60,wap_name,scorecard_name,CS_prestige_rank,CS_springrank_score,cs_median_earnings,cs_cohort,z_P,z_S,combined_w50,combined_w60,combined_w70,rank_w50,rank_w60,rank_w70,salary_premium_usd,rank_move_across_w,low_robustness_flag,pseo_earnings
48,Iowa State University,Iowa State University,55.0,0.3091297069224395,92708.96721311475,244.0,-0.06860460924442639,-1.1862328519746423,-0.6274187306095343,-0.5156559063365128,-0.4038930820634912,50,48,45,-49323.06958718822,5,False,
49,Texas A&M University,Texas A&M University-College Station,51.0,0.09476674267435402,123438.27160493827,243.0,-0.6571528989052964,-0.47195395236263854,-0.5645534256339675,-0.5830733202882332,-0.6015932149424991,48,49,50,-3920.7507469907287,2,False,113189.58671096346
50,Colorado State University,Colorado State University-Fort Collins,84.0,0.14167526301558214,111947.58602150538,186.0,-0.5283623239373142,-0.7390460462697768,-0.6337041851035454,-0.6126358128702992,-0.591567440637053,51,50,49,-18622.296000763483,2,False,105706.93858267716
51,Northeastern University,Northeastern University,81.0,-0.18701156988277895,163708.0,243.0,-1.4307946728037826,0.4640847200048511,-0.48335497639946573,-0.6728429156803291,-0.8623308549611924,46,51,60,55636.53166138596,14,True,
52,"University of Texas at San Antonio, The",The University of Texas at San Antonio,112.0,0.11710174501882024,106358.0,236.0,-0.5958306109087843,-0.8689716476377608,-0.7324011292732726,-0.705087025600375,-0.6777729219274773,56,52,51,-22529.83967004344,5,False,108109.0
53,"University of Tennessee, The",The University of Tennessee-Knoxville,102.0,0.11710174501882024,106312.0,80.0,-0.5958306109087843,-0.8700408820390085,-0.7329357464738964,-0.705514719360874,-0.6780936922478515,57,53,52,-22575.83967004344,5,False,
54,University of Connecticut,University of Connecticut,75.0,0.08506335498777996,111811.85321100918,109.0,-0.6837942184395802,-0.7422010504080504,-0.7129976344238154,-0.7071569512269683,-0.7013162680301213,53,54,53,-14882.978158943573,1,False,124373.0
55,"University of Minnesota, Twin Cities",University of Minnesota-Twin Cities,25.0,0.08069795023316025,111661.0,333.0,-0.6957797380045898,-0.7457075165547831,-0.7207436272796864,-0.7157508494246672,-0.7107580715696478,55,55,54,-14735.022071144005,1,False,113431.0
56,North Carolina State University,North Carolina State University at Raleigh,49.0,0.06961556518493862,113478.0,198.0,-0.7262071898191925,-0.7034727577054958,-0.7148399737623441,-0.7171134169737139,-0.7193868601850835,54,56,55,-12159.439558976432,2,False,105676.0
57,Boston University,Boston University,39.0,-0.08728458475024334,136667.0,151.0,-1.1569873631378218,-0.16446239834604456,-0.6607248807419331,-0.7599773772211109,-0.8592298737002886,52,57,59,21769.28021970045,7,True,
