spec,n_fields,gap_sd,gap_range,gap_median,cs_gap,spearman_gap_vs_industry_all,p_all,pearson_gap_vs_industry_all,spearman_gap_vs_industry_sdr_only,p_sdr_only,n_sdr_only,cond1_variation,cond2_mechanism_negative,cond3_cs_low_gap,verdict
Bachelor 4yr,20,0.13442986786545202,"(0.24630541871921174, 0.7151980792316928)",0.4694713201927887,0.2982717966413617,-0.1024097546925043,0.6674624033707837,-0.06806717177775985,0.022058823529411766,0.9330304490530753,17,True,False,True,NO-GO
Bachelor 1yr,20,0.2209860319953088,"(0.23626251390433817, 0.9392754613807245)",0.7189949443576731,0.31259521856322514,-0.23343399966673772,0.32192840381432275,-0.2951336407913167,-0.08333333333333334,0.750504450153402,17,True,True,True,GO
Master 4yr,11,0.24210808223214367,"(0.32138836772983104, 1.0952380952380953)",0.5524475524475525,0.3913461538461539,-0.346242356159436,0.2969148514029102,-0.25860190036740843,-0.6,0.08762282904140249,9,True,True,True,GO
Master 1yr,10,0.2100068980219937,"(0.27681465821000717, 0.9212121212121213)",0.6910211345865188,0.4691515683614015,-0.2978737164032316,0.40320387263291363,-0.3225464807000627,-0.19047619047619052,0.6514014957024814,8,True,True,True,GO
Doctoral 4yr,4,0.3930816968264416,"(0.2900930487137384, 1.0993609335926646)",0.8,,-0.39999999999999997,0.6,-0.6361835417415042,,,3,True,True,False,NO-GO
Doctoral 1yr,4,0.3507259021183429,"(0.43333333333333335, 1.1666666666666667)",0.8799744245524297,,-0.39999999999999997,0.6,-0.6149098239818759,,,3,True,True,False,NO-GO
