term,coef,se,t,p
const,0.466487364137724,0.029950436134476458,15.57531122562661,2.5252784479247504e-09
task_distance,-0.04768875791618254,0.03106512605894377,-1.535121982949519,0.15068923609246607
earn_cv,-0.059154019674995506,0.0445605872668176,-1.3274964111400978,0.20904606943263573
doc_ba_ratio,0.024066270165531374,0.03223716164546564,0.7465381236166133,0.4697164316060134
price_wedge_abs,0.010110455009020051,0.04393644491097678,0.2301154549373685,0.8218780546898393
