spearman,boot_lo,boot_hi,boot_se,field_key,N,gap,label
0.7082183114791811,0.6186419202132387,0.7839881833196914,0.04402896466120943,computer_science,161,0.29178168852081887,Computer Science
0.6155705257309534,0.49212670810664944,0.7124822228703811,0.058871928750105086,mathematics,120,0.3844294742690466,Mathematics
0.7536945812807883,0.5211933716337902,0.8665623351930026,0.08799648782599047,statistics,28,0.24630541871921174,Statistics
0.5129127506002484,0.3491318087166186,0.657764236244636,0.08203013053902404,electrical_engineering,118,0.48708724939975157,Electrical Engineering
0.6180145530430754,0.48588185951389884,0.7277243477211864,0.0611749351856991,mechanical_engineering,133,0.3819854469569246,Mechanical Engineering
0.5057640472734812,0.343479734433282,0.6398836900235714,0.07538338228563901,civil_engineering,105,0.49423595272651877,Civil Engineering
0.5481446090141742,0.37231170957738835,0.697297587815094,0.08285212381583881,chemical_engineering,91,0.45185539098582583,Chemical Engineering
0.5118577075098815,0.13173997330105974,0.7748768818867293,0.17120480656836365,materials_science,23,0.48814229249011853,Materials Science
0.34521292660827546,0.0073139690286901865,0.6151943202549739,0.149951162470433,physics,43,0.6547870733917245,Physics
0.3130553656869447,0.08457364886495715,0.4946892442660225,0.10302826164129585,chemistry,76,0.6869446343130553,Chemistry
0.36885172915301523,0.224729815643206,0.5170100068608267,0.0740054208884825,biology,138,0.6311482708469848,Biology
0.2848019207683073,-0.0011764551701546446,0.5729191421674276,0.14355269983912325,earth_sciences,50,0.7151980792316928,Earth Sciences
0.687447381880995,0.578786974528848,0.7692325809481267,0.049296276644812634,economics,116,0.31255261811900503,Economics
0.6569909289959336,0.553395168280731,0.7356266117974194,0.04776082801513628,political_science,139,0.3430090710040664,Political Science
0.5699884570988841,0.4484333814882848,0.6615373238541429,0.05473242002534117,sociology,114,0.4300115429011159,Sociology
0.4920910384068279,0.27638669515634423,0.6472894326993321,0.09541189252531014,anthropology,75,0.5079089615931721,Anthropology
0.5712762653489764,0.46274402282123794,0.6650187080347435,0.05167622241529387,psychology,173,0.42872373465102365,Psychology
0.4940200956004293,0.3666932584894745,0.6113263196201194,0.06199130650570321,english,135,0.5059799043995707,English
0.5865264506485881,0.4516944515904267,0.6942056257377283,0.06270006489055528,history,131,0.4134735493514119,History
0.34320557491289205,0.0672118044906335,0.5765261268024584,0.13466393149166178,philosophy,41,0.656794425087108,Philosophy
