N,obs_earn_var,noise_var,signal_frac,noise_to_signal,synth_gap_mean,synth_gap_lo,synth_gap_hi,field_key,observed_gap,covered,excess_gap,label
161,1441361657.3047032,113311195.30399981,0.9213860069540853,0.2920983621526599,0.034221054750402456,0.023159434667586836,0.05311608580630319,computer_science,0.29178168852081887,False,0.25756063377041644,Computer Science
120,1091047835.9761922,145156233.94298476,0.8669570396855154,0.3917393164226363,0.06480056948399206,0.04139124244739237,0.09611639697201199,mathematics,0.3844294742690466,False,0.31962890478505457,Mathematics
28,1172419903.3121693,254491017.88539895,0.7829352630687658,0.5265404147008225,0.10896715927750414,0.04266557197591687,0.2588943623426383,statistics,0.24630541871921174,True,0.1373382594417076,Statistics
118,402597471.5341155,117382539.43004988,0.7084369681141848,0.6415280069741247,0.16353507243836254,0.11390571874121226,0.23046118056088144,electrical_engineering,0.48708724939975157,False,0.32355217696138905,Electrical Engineering
133,72308263.43255867,59098172.92126415,0.18269129811996473,2.1151157081141845,0.5707726864651451,0.432179711490395,0.7241005753869069,mechanical_engineering,0.3819854469569246,False,-0.18878723950822052,Mechanical Engineering
105,40441684.64798535,80462111.34903611,0.02,9.973924931411936,0.9003928675098487,0.7114967343976778,1.0880717395811736,civil_engineering,0.49423595272651877,False,-0.40615691478332994,Civil Engineering
91,82044181.57509159,110062886.45155263,0.02,8.189955795779097,0.8766927854753942,0.6760706322662845,1.0819764293677336,chemical_engineering,0.45185539098582583,False,-0.42483739448956837,Chemical Engineering
23,84886488.49407114,185368753.29281428,0.02,10.449222634030154,0.9168438735177865,0.5167490118577075,1.340933794466403,materials_science,0.48814229249011853,False,-0.428701581027668,Materials Science
43,251652254.7895903,165801828.23218584,0.341147058782307,1.3897075880499126,0.41673995771670197,0.24688160676532767,0.6222591362126245,physics,0.6547870733917245,False,0.2380471156750225,Physics
76,75763703.84,98736676.05568741,0.02,8.07223236062168,0.8791550786056049,0.6653397129186602,1.095404647983595,chemistry,0.6869446343130553,True,-0.19221044429254963,Chemistry
138,126157850.30953537,36822693.539384134,0.7081220593959267,0.642017069312129,0.1502899296557677,0.10563838361237393,0.20907922345081742,biology,0.6311482708469848,False,0.48085834119121706,Biology
50,76237585.7097959,81468273.54739764,0.02,7.309618167976684,0.8713120768307323,0.6070372148859544,1.1426458583433374,earth_sciences,0.7151980792316928,True,-0.15611399759903954,Earth Sciences
116,673560797.9409294,70017754.35397092,0.8960483529207539,0.3406041730178649,0.051603036943066886,0.03407969092376898,0.07595394610387114,economics,0.31255261811900503,False,0.26094958117593814,Economics
139,169253963.9833177,46750856.1402619,0.7237827992916619,0.61776205771558,0.14189456186603525,0.09745185218285005,0.19805833593994387,political_science,0.3430090710040664,False,0.20111450913803117,Political Science
114,84557959.25632666,41071375.64889508,0.5142813756373609,0.9718337555482717,0.27588508130657535,0.19540005265182955,0.3755335047892914,sociology,0.4300115429011159,False,0.15412646159454052,Sociology
75,98977393.64432432,45184660.38750568,0.5434850451823682,0.9165026084618066,0.2657147937411095,0.17592603129445247,0.36783570412517785,anthropology,0.5079089615931721,False,0.2421941678520626,Anthropology
173,99979648.08094668,23408108.465331975,0.7658712656561861,0.5529036676775223,0.11294827354436765,0.07719515275968673,0.15626248661527545,psychology,0.42872373465102365,False,0.315775461106656,Psychology
135,86288784.02631287,36291393.8020709,0.5794193392387565,0.8519775601380908,0.23160787240269234,0.16010584333235783,0.3111698858647936,english,0.5059799043995707,False,0.27437203199687843,English
131,192103449.365825,51609071.25029776,0.7313475035421256,0.6060850179841656,0.1426931938290717,0.10008127368814396,0.19562910372070672,history,0.4134735493514119,False,0.2707803555223402,History
41,177985354.75609756,70716254.59847377,0.6026849810458851,0.8119369512867713,0.23433571428571412,0.12454703832752594,0.37345818815330983,philosophy,0.656794425087108,False,0.42245871080139386,Philosophy
